folder,D_mm,H_mm,ER_guess,fft_f0_Hz,freq_mean_Hz,freq_diff_Hz
01_09_D_120mm_260mm,120,260,0.7,0.048828125,0.0839487851967174,-0.035120660196717404
01_09_D_120mm_260mm,120,260,0.75,0.830078125,0.0646993457526674,0.7653787792473326
01_09_D_120mm_260mm,120,260,0.8,0.537109375,0.0816360692808175,0.4554733057191825
01_09_D_120mm_260mm,120,260,0.85,1.123046875,0.04514618257249297,1.077900692427507
01_09_D_120mm_260mm,120,260,0.9,0.048828125,0.15772797851824963,-0.10889985351824963
01_09_D_120mm_260mm,120,260,0.95,0.048828125,0.3326705912561751,-0.2838424662561751
02_09_D_88mm_200mm,88,200,0.7,0.6022135416666666,0.4962085568913004,0.10600498477536624
02_09_D_88mm_200mm,88,200,0.72,0.830078125,0.6182806177363587,0.21179750726364133
02_09_D_88mm_200mm,88,200,0.75,1.2369791666666667,0.8244632013202916,0.41251596534637514
02_09_D_88mm_200mm,88,200,0.8,0.78125,0.6621987795308848,0.1190512204691152
02_09_D_88mm_200mm,88,200,0.85,0.5045572916666666,1.1026728933123773,-0.5981156016457106
03_09_D_88mm_350mm,88,350,0.6,0.7161458333333334,0.4648555188221179,0.2512903145112155
03_09_D_88mm_350mm,88,350,0.65,0.6103515625,0.6439672917088978,-0.03361572920889777
03_09_D_88mm_350mm,88,350,0.7,1.6276041666666667,1.6532887069570652,-0.02568454029039846
03_09_D_88mm_350mm,88,350,0.71,2.34375,2.351049744515081,-0.007299744515080864
03_09_D_88mm_350mm,88,350,0.72,2.24609375,2.2897011881927027,-0.04360743819270274
28_08_D_100mm_260mm,100,260,0.75,0.6510416666666666,0.16287003993100904,0.4881716267356576
28_08_D_100mm_260mm,100,260,0.8,0.3743489583333333,0.25322842666765905,0.12112053166567427
28_08_D_100mm_260mm,100,260,0.85,0.78125,0.46968689555830895,0.31156310444169105
28_08_D_100mm_260mm,100,260,0.9,0.048828125,0.53149809126695,-0.48266996626695
29_08_D_88mm_260mm,88,260,0.6,0.5859375,0.6058639442683502,-0.01992644426835022
29_08_D_88mm_260mm,88,260,0.7,1.2044270833333333,1.2168575141907334,-0.012430430857400143
29_08_D_88mm_260mm,88,260,0.75,2.197265625,2.2101388688633725,-0.012873243863372519
29_08_D_88mm_260mm,88,260,0.8,1.3509114583333333,1.7388421729562398,-0.3879307146229065
29_08_D_88mm_260mm,88,260,0.85,0.8463541666666666,1.6892084591429724,-0.8428542924763057
